lang,&,baseline,&,froze-5,&,froze-4,&,froze-3,&,froze-2,&,froze-1,,lang,&,baseline,&,tune-5,&,tune-4,&,tune-3,&,tune-2,&,tune-1,\\
sl,&,23.35,&,23.93,&,25.3,&,18.87,&,17.53,&,26.24,,sl,&,23.35,&,21.65,&,26.44,&,19.09,&,15.35,&,17.96,\\
ga-ie,&,31.83,&,29.08,&,36.14,&,27.22,&,29.07,&,32.27,,ga-ie,&,31.83,&,31.01,&,32.2,&,27.5,&,25.42,&,24.98,\\
cv,&,48.1,&,46.13,&,47.83,&,38,&,35.23,&,42.88,,cv,&,48.1,&,47.1,&,44.58,&,42.75,&,27.21,&,31.94,\\
br,&,21.47,&,19.17,&,20.76,&,18.33,&,17.72,&,21.03,,br,&,21.47,&,19.16,&,20.01,&,18.06,&,15.99,&,18.42,\\
tr,&,34.66,&,32.98,&,35.47,&,33,&,33.66,&,36.71,,tr,&,34.66,&,34.12,&,34.83,&,31.79,&,27.55,&,29.74,\\
it,&,40.91,&,39.2,&,41.55,&,38.16,&,39.4,&,43.21,,it,&,40.91,&,42.65,&,42.82,&,36.89,&,33.63,&,35.1,\\
cy,&,34.15,&,32.46,&,33.93,&,31.57,&,35.26,&,36.56,,cy,&,34.15,&,31.91,&,33.63,&,30.13,&,28.75,&,30.38,\\
tt,&,32.61,&,29.2,&,30.52,&,27.37,&,28.28,&,31.28,,tt,&,32.61,&,31.43,&,30.8,&,27.79,&,26.42,&,28.63,\\
ca,&,38.01,&,36.44,&,38.7,&,36.51,&,42.26,&,47.96,,ca,&,38.01,&,35.21,&,39.02,&,35.26,&,33.83,&,36.41,\\
fr,&,43.33,&,43.3,&,43.47,&,43.37,&,43.75,&,43.79,,fr,&,43.33,&,43.26,&,43.51,&,43.24,&,43.2,&,43.19,\\
kab,&,25.76,&,25.57,&,25.97,&,25.45,&,27.77,&,29.28,,kab,&,25.76,&,25.5,&,26.83,&,25.25,&,24.92,&,25.28,\\
de,&,43.76,&,44.48,&,44.08,&,43.7,&,43.77,&,43.69,,de,&,43.756606,&,43.691946,&,43.618521,&,43.603786,&,43.759273,&,43.694487,\\
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RELATIVE,IMPROVEMENT,,,,,,,,,,,,,,RELATIVE,IMPROVEMENT,,,,,,,
,,MAX,,,,,,,,,,,,,,MAX,,,,,,,,,,,
sl,,5.82,,-0.579999999999998,,-1.95,,4.48,,5.82,,-2.89,,sl,,8,,1.7,,-3.09,,4.26,,8,,5.39,
ga-ie,,4.61,,2.75,,-4.31,,4.61,,2.76,,-0.440000000000005,,ga-ie,,6.85,,0.819999999999997,,-0.370000000000005,,4.33,,6.41,,6.85,
cv,,12.87,,1.97,,0.270000000000003,,10.1,,12.87,,5.22,,cv,,20.89,,1,,3.52,,5.35,,20.89,,16.16,
br,,3.75,,2.3,,0.709999999999997,,3.14,,3.75,,0.439999999999998,,br,,5.48,,2.31,,1.46,,3.41,,5.48,,3.05,
tr,,1.68,,1.68,,-0.810000000000002,,1.66,,1,,-2.05,,tr,,7.11,,0.539999999999999,,-0.170000000000002,,2.87,,7.11,,4.92,
it,,2.75,,1.70999999999999,,-0.640000000000001,,2.75,,1.51,,-2.3,,it,,7.27999999999999,,-1.74,,-1.91,,4.02,,7.27999999999999,,5.81,
cy,,2.58,,1.69,,0.219999999999999,,2.58,,-1.11,,-2.41,,cy,,5.4,,2.24,,0.519999999999996,,4.02,,5.4,,3.77,
tt,,5.24,,3.41,,2.09,,5.24,,4.33,,1.33,,tt,,6.19,,1.18,,1.81,,4.82,,6.19,,3.98,
ca,,1.57,,1.57,,-0.690000000000005,,1.5,,-4.25,,-9.95,,ca,,4.18,,2.8,,-1.01000000000001,,2.75,,4.18,,1.6,
fr,,0.030000000000001,,0.030000000000001,,-0.140000000000001,,-0.039999999999999,,-0.420000000000002,,-0.460000000000001,,fr,,0.140000000000001,,0.07,,-0.18,,0.089999999999996,,0.129999999999995,,0.140000000000001,
