br,21.47,non-shuffled,21.291667,0.178332999999999,,,1.5161285,,#_from_eng,,NON-SHUF,SHUF
br,21.47,non-shuffled,21.576389,-0.106389,,,0.381962499999998,,1,froze,-0.153890500000001,0.162376666666666
br,21.47,non-shuffled,21.041667,0.428332999999999,,,1.52678066666666,,2,froze,-0.525628166666668,0.154691833333331
br,21.47,non-shuffled,21.368056,0.101944,,,0.715544666666665,,3,froze,0.214848833333332,0.456823833333332
br,21.47,non-shuffled,21.569444,-0.099444000000002,,,0.332744666666666,,4,froze,0.715544666666665,1.230032
br,21.47,non-shuffled,21.625,-0.155000000000001,,,0.214848833333332,,5,froze,0.381962499999998,0.870568666666665
br,21.47,non-shuffled,22.208333,-0.738333000000001,,,-0.670699166666669,,1,tuned,0.415808333333333,1.203846
br,21.47,non-shuffled,22.131944,-0.661944000000002,,,-0.525628166666668,,2,tuned,-0.670699166666669,-0.043799333333335
br,21.47,non-shuffled,21.354167,0.115832999999999,,,0.415808333333333,,3,tuned,0.332744666666666,1.10322083333333
br,21.47,non-shuffled,20.708333,0.761666999999999,,,-0.153890500000001,,4,tuned,1.52678066666666,1.64526116666667
br,21.47,shuffled,21.451389,0.018611,,,1.49845716666667,,5,tuned,1.5161285,1.49845716666667
br,21.47,shuffled,21.715278,-0.245278000000003,,,0.870568666666665,,,,,
br,21.47,shuffled,21.236111,0.233888999999998,,,1.64526116666667,,,,,
br,21.47,shuffled,21.291667,0.178332999999999,,,1.230032,,,,,
br,21.47,shuffled,21.368056,0.101944,,,1.10322083333333,,,,,
br,21.47,shuffled,21.486111,-0.016111000000002,,,0.456823833333332,,,,,
br,21.47,shuffled,21.4375,0.032499999999999,,,-0.043799333333335,,,,,
br,21.47,shuffled,21.569444,-0.099444000000002,,,0.154691833333331,,,,,
br,21.47,shuffled,21.069444,0.400555999999998,,,1.203846,,,,,
br,21.47,shuffled,21.5625,-0.092500000000001,,,0.162376666666666,,,,,
cv,48.1,non-shuffled,46.875,1.225,,,,,,,,
cv,48.1,non-shuffled,48.145833,-0.045833000000002,,,,,,,,
cv,48.1,non-shuffled,47.75,0.350000000000001,,,,,,,,
cv,48.1,non-shuffled,47.958333,0.141666999999998,,,,,,,,
cv,48.1,non-shuffled,47.291667,0.808333000000005,,,,,,,,
cv,48.1,non-shuffled,48.5625,-0.462499999999999,,,,,,,,
cv,48.1,non-shuffled,47.583333,0.516666999999998,,,,,,,,
cv,48.1,non-shuffled,48.041667,0.058333000000005,,,,,,,,
cv,48.1,non-shuffled,48.041667,0.058333000000005,,,,,,,,
cv,48.1,non-shuffled,47.125,0.975000000000001,,,,,,,,
cv,48.1,shuffled,52.104167,-4.004167,,,,,,,,
cv,48.1,shuffled,52.541667,-4.441667,,,,,,,,
cv,48.1,shuffled,51.5625,-3.4625,,,,,,,,
cv,48.1,shuffled,51.9375,-3.8375,,,,,,,,
cv,48.1,shuffled,51.9375,-3.8375,,,,,,,,
cv,48.1,shuffled,52.645833,-4.545833,,,,,,,,
cv,48.1,shuffled,52.270833,-4.170833,,,,,,,,
cv,48.1,shuffled,52.458333,-4.358333,,,,,,,,
cv,48.1,shuffled,51.125,-3.025,,,,,,,,
cv,48.1,shuffled,52.166667,-4.066667,,,,,,,,
cy,34.15,non-shuffled,32.0175,2.1325,,,,,,,,
cy,34.15,non-shuffled,33.754167,0.395832999999996,,,,,,,,
cy,34.15,non-shuffled,31.2925,2.8575,,,,,,,,
cy,34.15,non-shuffled,32.644167,1.505833,,,,,,,,
cy,34.15,non-shuffled,34.8275,-0.677500000000002,,,,,,,,
cy,34.15,non-shuffled,33.930833,0.219166999999999,,,,,,,,
cy,34.15,non-shuffled,35.191667,-1.041667,,,,,,,,
cy,34.15,non-shuffled,34.090833,0.059166999999995,,,,,,,,
cy,34.15,non-shuffled,34.229167,-0.079166999999998,,,,,,,,
cy,34.15,non-shuffled,34.255,-0.105000000000004,,,,,,,,
cy,34.15,shuffled,31.746667,2.403333,,,,,,,,
cy,34.15,shuffled,32.9825,1.1675,,,,,,,,
cy,34.15,shuffled,32.065,2.085,,,,,,,,
cy,34.15,shuffled,32.8375,1.3125,,,,,,,,
cy,34.15,shuffled,33.2225,0.927500000000002,,,,,,,,
cy,34.15,shuffled,34.846667,-0.696666999999998,,,,,,,,
cy,34.15,shuffled,34.703333,-0.553333000000002,,,,,,,,
cy,34.15,shuffled,34.295,-0.145000000000003,,,,,,,,
cy,34.15,shuffled,33.795833,0.354166999999997,,,,,,,,
cy,34.15,shuffled,35.089167,-0.939167000000005,,,,,,,,
ga-ie,31.83,non-shuffled,31.520833,0.309166999999999,,,,,,,,
ga-ie,31.83,non-shuffled,31.71875,0.111249999999998,,,,,,,,
ga-ie,31.83,non-shuffled,30.729167,1.100833,,,,,,,,
ga-ie,31.83,non-shuffled,31.604167,0.225832999999998,,,,,,,,
ga-ie,31.83,non-shuffled,31.864583,-0.034583000000001,,,,,,,,
ga-ie,31.83,non-shuffled,31.53125,0.298749999999998,,,,,,,,
ga-ie,31.83,non-shuffled,32.708333,-0.878333000000005,,,,,,,,
ga-ie,31.83,non-shuffled,32.145833,-0.315833000000005,,,,,,,,
ga-ie,31.83,non-shuffled,31.229167,0.600832999999998,,,,,,,,
ga-ie,31.83,non-shuffled,32.229167,-0.399166999999998,,,,,,,,
ga-ie,31.83,shuffled,30.239583,1.590417,,,,,,,,
ga-ie,31.83,shuffled,31.28125,0.548749999999998,,,,,,,,
ga-ie,31.83,shuffled,29.760417,2.069583,,,,,,,,
ga-ie,31.83,shuffled,30.635417,1.194583,,,,,,,,
ga-ie,31.83,shuffled,30.229167,1.600833,,,,,,,,
ga-ie,31.83,shuffled,31.177083,0.652916999999999,,,,,,,,
ga-ie,31.83,shuffled,31.145833,0.684166999999999,,,,,,,,
ga-ie,31.83,shuffled,31.177083,0.652916999999999,,,,,,,,
ga-ie,31.83,shuffled,30.125,1.705,,,,,,,,
ga-ie,31.83,shuffled,30.885417,0.944582999999998,,,,,,,,
tr,34.66,non-shuffled,32.229167,2.430833,,,,,,,,
tr,34.66,non-shuffled,33.699405,0.960594999999998,,,,,,,,
tr,34.66,non-shuffled,32.53869,2.12130999999999,,,,,,,,
tr,34.66,non-shuffled,33.991071,0.668928999999999,,,,,,,,
tr,34.66,non-shuffled,34.33631,0.323689999999999,,,,,,,,
tr,34.66,non-shuffled,34.863095,-0.203095000000005,,,,,,,,
tr,34.66,non-shuffled,35.928571,-1.268571,,,,,,,,
tr,34.66,non-shuffled,36.244048,-1.584048,,,,,,,,
tr,34.66,non-shuffled,34.455357,0.204642999999997,,,,,,,,
tr,34.66,non-shuffled,36.622024,-1.96202400000001,,,,,,,,
tr,34.66,shuffled,30.806548,3.853452,,,,,,,,
tr,34.66,shuffled,30.940476,3.719524,,,,,,,,
tr,34.66,shuffled,31.011905,3.648095,,,,,,,,
tr,34.66,shuffled,30.964286,3.695714,,,,,,,,
tr,34.66,shuffled,31.380952,3.279048,,,,,,,,
tr,34.66,shuffled,32.074405,2.585595,,,,,,,,
tr,34.66,shuffled,34.348214,0.311785999999998,,,,,,,,
tr,34.66,shuffled,33.03869,1.62130999999999,,,,,,,,
tr,34.66,shuffled,31.089286,3.570714,,,,,,,,
tr,34.66,shuffled,32.205357,2.454643,,,,,,,,
tt,32.61,non-shuffled,29.789062,2.820938,,,,,,,,
tt,32.61,non-shuffled,31.633681,0.976319,,,,,,,,
tt,32.61,non-shuffled,30.307292,2.302708,,,,,,,,
tt,32.61,non-shuffled,30.960938,1.649062,,,,,,,,
tt,32.61,non-shuffled,30.934028,1.675972,,,,,,,,
tt,32.61,non-shuffled,31.018229,1.591771,,,,,,,,
tt,32.61,non-shuffled,33.223958,-0.613958000000004,,,,,,,,
tt,32.61,non-shuffled,33.319444,-0.709443999999998,,,,,,,,
tt,32.61,non-shuffled,31.015625,1.594375,,,,,,,,
tt,32.61,non-shuffled,32.803819,-0.193818999999998,,,,,,,,
tt,32.61,shuffled,27.480903,5.129097,,,,,,,,
tt,32.61,shuffled,28.135417,4.474583,,,,,,,,
tt,32.61,shuffled,27.3125,5.2975,,,,,,,,
tt,32.61,shuffled,27.773438,4.836562,,,,,,,,
tt,32.61,shuffled,28.0625,4.5475,,,,,,,,
tt,32.61,shuffled,27.848958,4.761042,,,,,,,,
tt,32.61,shuffled,29.177083,3.432917,,,,,,,,
tt,32.61,shuffled,29.353299,3.256701,,,,,,,,
tt,32.61,shuffled,28.392361,4.217639,,,,,,,,
tt,32.61,shuffled,29.936632,2.673368,,,,,,,,
